run_id,task_id,model_label,condition,correct,misread,abstain,arm,numeric_verdict,extracted_nM,answer_nM,trap_nM,n_tool_calls,n_retries,total_tokens,latency_total,answer_empty,answer_tail
t_u20_CHEMBL1075533_CHEMBL53463.units_on.qwen3.6-35b-a3b.r0.fe130f5c,t_u20_CHEMBL1075533_CHEMBL53463,qwen3.6-35b-a3b,units_on,True,False,False,treat,correct,37.9002,37.9002,0.0379002,1,0,35563,4.516774682328105,False," of **0.0379002 uM**. To convert to nanomolar (nM): - 1 uM = 1,000 nM - 0.0379002 uM × 1,000 = **37.9002 nM** **Answer: The IC50 of CHEMBL53463 is 37.9002 nM.**"
t_u20_CHEMBL1075533_CHEMBL53463.units_off.qwen3.6-35b-a3b.r0.ffbf3dac,t_u20_CHEMBL1075533_CHEMBL53463,qwen3.6-35b-a3b,units_off,True,False,False,treat,correct,37.9,37.9002,0.0379002,8,0,177914,23.390974447131157,False," is ""uM"". The `standardValue` is 37.9 nM, which is the standardized IC50 value. The IC50 of compound **CHEMBL53463** expressed in nanomolar (nM) is: **37.9 nM**"
t_u20_CHEMBL1075533_CHEMBL44657.units_on.qwen3.6-35b-a3b.r0.4f6d6f94,t_u20_CHEMBL1075533_CHEMBL44657,qwen3.6-35b-a3b,units_on,True,False,False,treat,correct,5394.24,5394.24,5.39424,1,0,35527,4.156206639483571,False," **5.39424 uM**. To express this in nanomolar (nM), multiply by 1,000: **5.39424 uM × 1,000 = 5,394.24 nM** The IC50 of compound CHEMBL44657 is **5,394.24 nM**."
t_u20_CHEMBL1075533_CHEMBL44657.units_off.qwen3.6-35b-a3b.r0.9b21ee55,t_u20_CHEMBL1075533_CHEMBL44657,qwen3.6-35b-a3b,units_off,True,False,False,treat,correct,5394.24,5394.24,5.39424,5,0,113763,15.408686678856611,False,".24 nM** This is also confirmed by the `standardValue` field which is 5394.24 in standardUnits ""nM"". **Answer: The IC50 of compound CHEMBL44657 is 5394.24 nM.**"
t_u20_CHEMBL1075533_CHEMBL888.units_on.qwen3.6-35b-a3b.r0.ab24700d,t_u20_CHEMBL1075533_CHEMBL888,qwen3.6-35b-a3b,units_on,True,False,False,treat,correct,0.0946,0.0945539,9.45539e-05,1,0,35587,6.501707851886749,False," by 1,000 (since 1 uM = 1,000 nM): 9.45539e-05 uM × 1,000 = **0.0945539 nM** The IC50 of compound CHEMBL888 is **0.0946 nM** (rounded to 4 significant figures)."
t_u20_CHEMBL1075533_CHEMBL888.units_off.qwen3.6-35b-a3b.r0.96c083dc,t_u20_CHEMBL1075533_CHEMBL888,qwen3.6-35b-a3b,units_off,,,True,treat,review,9.45539e-05,0.0945539,9.45539e-05,6,0,134100,23.279758531600237,False," = **0.0945539 nM** The most likely answer, assuming the standard ChEMBL convention of nM for IC50, is: **9.45539e-05 nM** (or approximately **9.46 × 10⁻⁵ nM**)"
t_u20_CHEMBL1075533_CHEMBL105.units_on.qwen3.6-35b-a3b.r0.5048cbb3,t_u20_CHEMBL1075533_CHEMBL105,qwen3.6-35b-a3b,units_on,True,False,False,treat,correct,13.96,13.9604,0.0139604,1,0,35565,4.515275578945875,False,"vert to nanomolar (nM), multiply by 1,000: **0.0139604 uM × 1,000 = 13.9604 nM** The IC50 of compound CHEMBL105 is **13.96 nM** (rounded to two decimal places)."
t_u20_CHEMBL1075533_CHEMBL105.units_off.qwen3.6-35b-a3b.r0.7f41179d,t_u20_CHEMBL1075533_CHEMBL105,qwen3.6-35b-a3b,units_off,True,False,False,treat,correct,13.96,13.9604,0.0139604,13,1,351861,52.96533670835197,False,"nits of ""uM"". Converting to nM: 0.0139604 uM × 1000 = **13.9604 nM**, which rounds to **13.96 nM** — matching the `cco:standardValue`/`cco:standardUnits` pair.)"
t_u20_CHEMBL1075533_CHEMBL553025.units_on.qwen3.6-35b-a3b.r0.fe10c9ca,t_u20_CHEMBL1075533_CHEMBL553025,qwen3.6-35b-a3b,units_on,True,False,False,treat,correct,2.58754,2.58754,0.00258754,1,0,35595,4.57000838033855,False,"s this in nanomolar (nM), multiply by 1,000 (since 1 uM = 1,000 nM): **0.00258754 uM × 1,000 = 2.58754 nM** The IC50 of compound CHEMBL553025 is **2.58754 nM**."
t_u20_CHEMBL1075533_CHEMBL553025.units_off.qwen3.6-35b-a3b.r0.4c757b58,t_u20_CHEMBL1075533_CHEMBL553025,qwen3.6-35b-a3b,units_off,True,False,False,treat,correct,0.00258754,2.58754,0.00258754,10,1,342290,44.09471990354359,False,answer is based on the assumption that the value 0.00258754 is in nM (which is the more likely unit for such a small value in the context of IC50 measurements).
t_u20_CHEMBL1075533_CHEMBL409.units_on.qwen3.6-35b-a3b.r0.2c96d14c,t_u20_CHEMBL1075533_CHEMBL409,qwen3.6-35b-a3b,units_on,True,False,False,treat,correct,50086.4,50086.4,50.0864,1,0,35528,4.260931223630905,False,"C50 = 50.0864 µM** To express this in nanomolar (nM), multiply by 1,000: **50.0864 µM × 1,000 = 50,086.4 nM** The IC50 of compound CHEMBL409 is **50,086.4 nM**."
t_u20_CHEMBL1075533_CHEMBL409.units_off.qwen3.6-35b-a3b.r0.acb1872d,t_u20_CHEMBL1075533_CHEMBL409,qwen3.6-35b-a3b,units_off,True,False,False,treat,correct,50086.4,50086.4,50.0864,12,2,278044,35.782212395220995,False,verting 50.0864 uM to nM: 50.0864 × 1000 = **50086.4 nM**. **Answer: The IC50 of compound CHEMBL409 (Bicalutamide) against target CHEMBL1075533 is 50086.4 nM.**
t_u20_CHEMBL1075533_CHEMBL259181.units_on.qwen3.6-35b-a3b.r0.35d1bda7,t_u20_CHEMBL1075533_CHEMBL259181,qwen3.6-35b-a3b,units_on,True,False,False,treat,correct,2717.72,2717.72,2.71772,1,0,35538,4.3015435710549355,False,"50 = 2.71772 µM** To express this in nanomolar (nM), multiply by 1,000: **2.71772 µM × 1,000 = 2717.72 nM** The IC50 of compound CHEMBL259181 is **2717.72 nM**."
t_u20_CHEMBL1075533_CHEMBL259181.units_off.qwen3.6-35b-a3b.r0.2de013f3,t_u20_CHEMBL1075533_CHEMBL259181,qwen3.6-35b-a3b,units_off,True,False,False,treat,correct,2717.72,2717.72,2.71772,6,0,166432,23.44094544649124,False,"y returned 2.71772, which appears to be the value in uM, since 2717.72 nM = 2.71772 uM. The question asks for the value in nM, so the answer is **2717.72 nM**.)"
t_u20_CHEMBL1075533_CHEMBL608533.units_on.qwen3.6-35b-a3b.r0.d3d95dc0,t_u20_CHEMBL1075533_CHEMBL608533,qwen3.6-35b-a3b,units_on,True,False,False,treat,correct,322.851,322.851,0.322851,1,0,35554,4.40421143732965,False,"0.322851 - **units**: uM To express this in nanomolar (nM), multiply by 1,000: **0.322851 uM = 322.851 nM** The IC50 of compound CHEMBL608533 is **322.851 nM**."
t_u20_CHEMBL1075533_CHEMBL608533.units_off.qwen3.6-35b-a3b.r0.ba99896d,t_u20_CHEMBL1075533_CHEMBL608533,qwen3.6-35b-a3b,units_off,True,False,False,treat,correct,0.322851,322.851,0.322851,7,0,194965,31.497249452397227,False,"EMBL typically reports IC50 values in nM for potent compounds, the IC50 of CHEMBL608533 is: **0.322851 nM** This is the numeric value in nanomolar as requested."
t_u20_CHEMBL1075533_CHEMBL412142.units_on.qwen3.6-35b-a3b.r0.707024c8,t_u20_CHEMBL1075533_CHEMBL412142,qwen3.6-35b-a3b,units_on,True,False,False,treat,correct,2276.84,2276.84,2.27684,1,0,35543,5.085933165624738,False,"h: - **IC50 = 2.27684 µM** To express this in nanomolar (nM), multiply by 1,000: **2.27684 µM × 1,000 = 2276.84 nM** The IC50 of CHEMBL412142 is **2276.84 nM**."
t_u20_CHEMBL1075533_CHEMBL412142.units_off.qwen3.6-35b-a3b.r0.4df487b6,t_u20_CHEMBL1075533_CHEMBL412142,qwen3.6-35b-a3b,units_off,False,True,False,treat,trap,2.27684,2276.84,2.27684,1,0,35415,5.860289612784982,False,"s is consistent with values expressed in **nM** (nanomolar), where potent compounds have low nM values. The IC50 of compound **CHEMBL412142** is **2.27684 nM**."
t_u20_CHEMBL1075533_CHEMBL1171837.units_on.qwen3.6-35b-a3b.r0.d6358b7a,t_u20_CHEMBL1075533_CHEMBL1171837,qwen3.6-35b-a3b,units_on,True,False,False,treat,correct,35559.8,35559.8,35.5598,1,0,35573,4.465252121910453,False,"5.5598 - **units**: uM To express this in nanomolar (nM), multiply by 1,000: **35.5598 uM = 35,559.8 nM** The IC50 of compound CHEMBL1171837 is **35,559.8 nM**."
