run_id,task_id,model_label,condition,correct,misread,abstain,arm,numeric_verdict,extracted_nM,answer_nM,trap_nM,n_tool_calls,n_retries,total_tokens,latency_total,answer_empty,answer_tail
t_labF_CHEMBL10276.label_implicit.qwen3.6-35b-a3b.r0.a7e5fbe1,t_labF_CHEMBL10276,qwen3.6-35b-a3b,label_implicit,True,False,False,,,,,,1,0,43183,4.245488539338112,False,NONE
t_labF_CHEMBL10276.label_explicit.qwen3.6-35b-a3b.r0.b63b4114,t_labF_CHEMBL10276,qwen3.6-35b-a3b,label_explicit,True,False,False,,,,,,1,0,43588,4.1637683510780334,False,NONE
t_labF_CHEMBL104728.label_implicit.qwen3.6-35b-a3b.r0.a807466a,t_labF_CHEMBL104728,qwen3.6-35b-a3b,label_implicit,True,False,False,,,,,,1,0,43185,4.31403729878366,False,NONE
t_labF_CHEMBL104728.label_explicit.qwen3.6-35b-a3b.r0.32983db3,t_labF_CHEMBL104728,qwen3.6-35b-a3b,label_explicit,True,False,False,,,,,,1,0,43590,4.181880120187998,False,NONE
t_labF_CHEMBL104732.label_implicit.qwen3.6-35b-a3b.r0.27a443f3,t_labF_CHEMBL104732,qwen3.6-35b-a3b,label_implicit,True,False,False,,,,,,1,0,43185,4.1178617756813765,False,NONE
t_labF_CHEMBL104732.label_explicit.qwen3.6-35b-a3b.r0.eaa3b96e,t_labF_CHEMBL104732,qwen3.6-35b-a3b,label_explicit,True,False,False,,,,,,1,0,43590,4.134595487266779,False,NONE
t_labF_CHEMBL105739.label_implicit.qwen3.6-35b-a3b.r0.04930a41,t_labF_CHEMBL105739,qwen3.6-35b-a3b,label_implicit,True,False,False,,,,,,1,0,43185,4.158218888565898,False,NONE
t_labF_CHEMBL105739.label_explicit.qwen3.6-35b-a3b.r0.1d711cf1,t_labF_CHEMBL105739,qwen3.6-35b-a3b,label_explicit,True,False,False,,,,,,1,0,43590,4.263556707650423,False,NONE
t_labF_CHEMBL1078244.label_implicit.qwen3.6-35b-a3b.r0.990f103b,t_labF_CHEMBL1078244,qwen3.6-35b-a3b,label_implicit,True,False,False,,,,,,1,0,43187,5.441278347745538,False,NONE
t_labF_CHEMBL1078244.label_explicit.qwen3.6-35b-a3b.r0.5a919c59,t_labF_CHEMBL1078244,qwen3.6-35b-a3b,label_explicit,True,False,False,,,,,,1,0,43592,4.19949085265398,False,NONE
t_labF_CHEMBL1080147.label_implicit.qwen3.6-35b-a3b.r0.c8ef0f21,t_labF_CHEMBL1080147,qwen3.6-35b-a3b,label_implicit,True,False,False,,,,,,1,0,43187,4.202245218679309,False,NONE
t_labF_CHEMBL1080147.label_explicit.qwen3.6-35b-a3b.r0.6bc85aed,t_labF_CHEMBL1080147,qwen3.6-35b-a3b,label_explicit,True,False,False,,,,,,1,0,43592,4.170347476378083,False,NONE
t_labF_CHEMBL1080510.label_implicit.qwen3.6-35b-a3b.r0.cd0a0d41,t_labF_CHEMBL1080510,qwen3.6-35b-a3b,label_implicit,True,False,False,,,,,,1,0,43187,4.1547835152596235,False,NONE
t_labF_CHEMBL1080510.label_explicit.qwen3.6-35b-a3b.r0.5c4dc8a4,t_labF_CHEMBL1080510,qwen3.6-35b-a3b,label_explicit,True,False,False,,,,,,1,0,43592,6.962327899411321,False,NONE
t_labF_CHEMBL1080687.label_implicit.qwen3.6-35b-a3b.r0.9b195701,t_labF_CHEMBL1080687,qwen3.6-35b-a3b,label_implicit,True,False,False,,,,,,1,0,43187,4.164938680827618,False,NONE
t_labF_CHEMBL1080687.label_explicit.qwen3.6-35b-a3b.r0.e0534ef9,t_labF_CHEMBL1080687,qwen3.6-35b-a3b,label_explicit,True,False,False,,,,,,1,0,43592,4.220312146469951,False,NONE
t_labF_CHEMBL1080744.label_implicit.qwen3.6-35b-a3b.r0.d7c0f297,t_labF_CHEMBL1080744,qwen3.6-35b-a3b,label_implicit,True,False,False,,,,,,1,0,43187,4.217761516571045,False,NONE
t_labF_CHEMBL1080744.label_explicit.qwen3.6-35b-a3b.r0.ce358dd8,t_labF_CHEMBL1080744,qwen3.6-35b-a3b,label_explicit,True,False,False,,,,,,1,0,43592,4.244955442845821,False,NONE
t_labF_CHEMBL1080861.label_implicit.qwen3.6-35b-a3b.r0.f09188a1,t_labF_CHEMBL1080861,qwen3.6-35b-a3b,label_implicit,True,False,False,,,,,,1,0,43187,4.205419475212693,False,NONE
t_labF_CHEMBL1080861.label_explicit.qwen3.6-35b-a3b.r0.cac1314e,t_labF_CHEMBL1080861,qwen3.6-35b-a3b,label_explicit,True,False,False,,,,,,1,0,43592,4.217481713742018,False,NONE
t_labF_CHEMBL1080897.label_implicit.qwen3.6-35b-a3b.r0.d9ad473f,t_labF_CHEMBL1080897,qwen3.6-35b-a3b,label_implicit,True,False,False,,,,,,1,0,43187,4.186409179121256,False,NONE
t_labF_CHEMBL1080897.label_explicit.qwen3.6-35b-a3b.r0.b71d4d8b,t_labF_CHEMBL1080897,qwen3.6-35b-a3b,label_explicit,True,False,False,,,,,,1,0,43592,6.012232402339578,False,NONE
t_labF_CHEMBL1080915.label_implicit.qwen3.6-35b-a3b.r0.915e1bf5,t_labF_CHEMBL1080915,qwen3.6-35b-a3b,label_implicit,True,False,False,,,,,,1,0,43187,4.165358927100897,False,NONE
t_labF_CHEMBL1080915.label_explicit.qwen3.6-35b-a3b.r0.6343b69e,t_labF_CHEMBL1080915,qwen3.6-35b-a3b,label_explicit,True,False,False,,,,,,1,0,43592,4.199322139844298,False,NONE
t_labF_CHEMBL1080918.label_implicit.qwen3.6-35b-a3b.r0.6ece119f,t_labF_CHEMBL1080918,qwen3.6-35b-a3b,label_implicit,False,True,False,,,,,,1,0,43196,4.270534683018923,False,CHEMBL1080918
t_labF_CHEMBL1080918.label_explicit.qwen3.6-35b-a3b.r0.7a9da978,t_labF_CHEMBL1080918,qwen3.6-35b-a3b,label_explicit,True,False,False,,,,,,1,0,43592,4.223791029304266,False,NONE
t_labF_CHEMBL1081075.label_implicit.qwen3.6-35b-a3b.r0.9b981a87,t_labF_CHEMBL1081075,qwen3.6-35b-a3b,label_implicit,True,False,False,,,,,,1,0,43187,4.2173538710922,False,NONE
t_labF_CHEMBL1081075.label_explicit.qwen3.6-35b-a3b.r0.64280a62,t_labF_CHEMBL1081075,qwen3.6-35b-a3b,label_explicit,True,False,False,,,,,,1,0,43592,4.194052955135703,False,NONE
t_labF_CHEMBL1081635.label_implicit.qwen3.6-35b-a3b.r0.e751119e,t_labF_CHEMBL1081635,qwen3.6-35b-a3b,label_implicit,True,False,False,,,,,,1,0,43187,4.225446633994579,False,NONE
t_labF_CHEMBL1081635.label_explicit.qwen3.6-35b-a3b.r0.cf93046b,t_labF_CHEMBL1081635,qwen3.6-35b-a3b,label_explicit,True,False,False,,,,,,1,0,43592,4.2640465423464775,False,NONE
t_labF_CHEMBL1081842.label_implicit.qwen3.6-35b-a3b.r0.5320c9c3,t_labF_CHEMBL1081842,qwen3.6-35b-a3b,label_implicit,True,False,False,,,,,,1,0,43187,4.433489950373769,False,NONE
t_labF_CHEMBL1081842.label_explicit.qwen3.6-35b-a3b.r0.c879723d,t_labF_CHEMBL1081842,qwen3.6-35b-a3b,label_explicit,True,False,False,,,,,,1,0,43592,4.2693833746016026,False,NONE
t_labF_CHEMBL1082160.label_implicit.qwen3.6-35b-a3b.r0.9853b08c,t_labF_CHEMBL1082160,qwen3.6-35b-a3b,label_implicit,True,False,False,,,,,,1,0,43187,4.39340809546411,False,NONE
t_labF_CHEMBL1082160.label_explicit.qwen3.6-35b-a3b.r0.232f5e85,t_labF_CHEMBL1082160,qwen3.6-35b-a3b,label_explicit,True,False,False,,,,,,1,0,43661,4.619488963857293,False," ""CHEMBL1082160"" - moleculeLabel_kind: ""id"" This means the label is just the ChEMBL ID itself, not a real compound name. The molecule has no compound name. NONE"
t_labF_CHEMBL1084441.label_implicit.qwen3.6-35b-a3b.r0.66dc50a4,t_labF_CHEMBL1084441,qwen3.6-35b-a3b,label_implicit,True,False,False,,,,,,1,0,43187,4.195253236219287,False,NONE
t_labF_CHEMBL1084441.label_explicit.qwen3.6-35b-a3b.r0.437f029e,t_labF_CHEMBL1084441,qwen3.6-35b-a3b,label_explicit,True,False,False,,,,,,1,0,43592,4.288171311840415,False,NONE
t_labF_CHEMBL1085065.label_implicit.qwen3.6-35b-a3b.r0.2fe36492,t_labF_CHEMBL1085065,qwen3.6-35b-a3b,label_implicit,True,False,False,,,,,,1,0,43187,4.230176931247115,False,NONE
t_labF_CHEMBL1085065.label_explicit.qwen3.6-35b-a3b.r0.81299b75,t_labF_CHEMBL1085065,qwen3.6-35b-a3b,label_explicit,True,False,False,,,,,,1,0,43592,4.2781624887138605,False,NONE
t_labF_CHEMBL1086872.label_implicit.qwen3.6-35b-a3b.r0.0b324317,t_labF_CHEMBL1086872,qwen3.6-35b-a3b,label_implicit,True,False,False,,,,,,1,0,43187,4.27603599242866,False,NONE
t_labF_CHEMBL1086872.label_explicit.qwen3.6-35b-a3b.r0.2f593b16,t_labF_CHEMBL1086872,qwen3.6-35b-a3b,label_explicit,True,False,False,,,,,,1,0,43592,4.26683159545064,False,NONE
t_labF_CHEMBL1087646.label_implicit.qwen3.6-35b-a3b.r0.c72984b3,t_labF_CHEMBL1087646,qwen3.6-35b-a3b,label_implicit,True,False,False,,,,,,1,0,43187,4.7039265893399715,False,NONE
t_labF_CHEMBL1087646.label_explicit.qwen3.6-35b-a3b.r0.ab887057,t_labF_CHEMBL1087646,qwen3.6-35b-a3b,label_explicit,True,False,False,,,,,,1,0,43592,4.256492141634226,False,NONE
t_labF_CHEMBL1088018.label_implicit.qwen3.6-35b-a3b.r0.51f5ee88,t_labF_CHEMBL1088018,qwen3.6-35b-a3b,label_implicit,True,False,False,,,,,,1,0,43187,4.275348454713821,False,NONE
t_labF_CHEMBL1088018.label_explicit.qwen3.6-35b-a3b.r0.09bc4700,t_labF_CHEMBL1088018,qwen3.6-35b-a3b,label_explicit,True,False,False,,,,,,1,0,43592,4.299956798553467,False,NONE
t_labF_CHEMBL1091028.label_implicit.qwen3.6-35b-a3b.r0.95ec2d7b,t_labF_CHEMBL1091028,qwen3.6-35b-a3b,label_implicit,True,False,False,,,,,,1,0,43187,4.293462624773383,False,NONE
t_labF_CHEMBL1091028.label_explicit.qwen3.6-35b-a3b.r0.695c7cdf,t_labF_CHEMBL1091028,qwen3.6-35b-a3b,label_explicit,True,False,False,,,,,,1,0,43592,4.298644360154867,False,NONE
t_labF_CHEMBL1091971.label_implicit.qwen3.6-35b-a3b.r0.fca977a0,t_labF_CHEMBL1091971,qwen3.6-35b-a3b,label_implicit,True,False,False,,,,,,1,0,43187,4.271969938650727,False,NONE
t_labF_CHEMBL1091971.label_explicit.qwen3.6-35b-a3b.r0.756e6db9,t_labF_CHEMBL1091971,qwen3.6-35b-a3b,label_explicit,True,False,False,,,,,,1,0,43592,4.3471508249640465,False,NONE
